GENERO ,MARCA,CATEGORIA,CODIGO NUMERICO,NOMBRE,COLOR,TALLES,,,,,,,,,,,,,TOTAL,WEB,FOTO,$COSTO,$PUBLICO,$PAGINA ,%INFLACION 
MUJER,CAVATINI,BOTAS,42-3156,BERNA,NEGRO,,,,1,2,1,,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3187,CARLOT,CENIZA,,,,,2,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-4035,MAE,VISON,,,,,1,1,1,1,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-4017,SIN NOMBRE,BORDO,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,39-1338,NILS ,ACERO,,,1,1,0,1,1,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,BOTAS,39-2502,UME,LATTE,,,1,1,1,,1,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,39-2511,BRILY,LATTE,,,1,1,,,1,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,39-2622,HAMIS,CHOCOLATE,,,1,1,,1,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,39-2621,HUMA,PERLA,,,1,1,1,1,,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,39-2621,HUMA,NEGRO,,,,,,1,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,39-2588,SPARKLE,ACERO,,,1,2,2,2,,,,,,,,7,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,82-4026,COLLINS ,NUDE,,,1,2,0,2,1,,,,,,,6,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLAS NEW,82-4027,NIRA,PERLA,,,1,2,1,2,1,,,,,,,7,SI,SI,,,,
,,,TOTAL PARES,,,,,,,,,,,,,,,,365,,,,,,
